#separator:Tab
#html:true
#deck:biohack::languages::es-en
#columns:ID	Spanish	English	SpanishExample	EnglishExample	Grammar	SortKey	Tags	Checksum
#tags column:8
biohack:es-en:0054	alumno (-a)	Student, pupil	Lleva un grupo de alumnos a España cada verano.	He takes a group of students to Spain every summer.		alumno (-a)	biohack es-en letter-a	2c8bd2751fd1
biohack:es-en:0055	allí	there	No me gustaría vivir allí.	I wouldn't like to live there.		alli	biohack es-en letter-a	b0e50e41a89e
biohack:es-en:0056	amable	likeable, kind	Es usted muy amable.	You're very kind.		amable	biohack es-en letter-a	3ddca3c9485f
biohack:es-en:0057	amar	to love	La amo tanto que no puedo separarme de ella.	I love her so much that I can’t leave her.	verb	amar	biohack es-en letter-a verb	7ecb20ec3e82
biohack:es-en:0058	amigo (-a)	friend	Quiero presentar algunos amigos míos.	I'd like to introduce some friends of mine.		amigo (-a)	biohack es-en letter-a	a16455998e96
biohack:es-en:0059	la amistad	f. friendship	Nuestra amistad va a durar mucho tiempo.	Our friendship will last a long time.	feminine noun	amistad	biohack es-en letter-a noun	845fd218e491
biohack:es-en:0060	ambos	both	Vale la pena de visitar ambos lugares.	It’s worthwhile to visit both places.		ambos	biohack es-en letter-a	9172e47e0b2f
biohack:es-en:0061	el amor	m. love	Por tu amor, haría cualquier cosa.	For your love, I would do anything.	masculine noun	amor	biohack es-en letter-a noun	c704a2b32c1a
biohack:es-en:0062	ancho	wide	Las avenidas principales son muy anchas.	The main streets are very wide.		ancho	biohack es-en letter-a	a4fedcbe8e43
biohack:es-en:0063	andar	to walk	Los viejos andan despacio.	Old people walk slowly.	verb	andar	biohack es-en letter-a verb	5ac7c6389cf3
biohack:es-en:0064	el andén	m. platform	¿En qué andén llega el tren de Barcelona?	On which platform does the train from Barcelona arrive?	masculine noun	anden	biohack es-en letter-a noun	2be5c2861e22
biohack:es-en:0065	el anillo	m. ring	Su novio le dio un anillo muy grande.	Her fiancé gave her a very big ring.	masculine noun	anillo	biohack es-en letter-a noun	24861ea21cda
biohack:es-en:0066	anoche	last night	Anoche llegué tarde.	Last night I arrived late.		anoche	biohack es-en letter-a	2f136e0ae279
biohack:es-en:0067	los anteojos	m. pl. eyeglasses	Usa anteojos para leer.	He wears eyeglasses to read.	masculine plural noun	anteojos	biohack es-en letter-a noun	2bc768c99024
biohack:es-en:0068	antes de	before	Antes de ir a Francia decidimos estudiar francés.	Before going to France we decided to study French.		antes de	biohack es-en letter-a	c8aab48f0310
biohack:es-en:0069	el anuncio	m. announcement, advertisement	Lea la sección de anuncios si busca empleo.	Read the advertisement section if you're looking for a job.	masculine noun	anuncio	biohack es-en letter-a noun	4febbab24579
biohack:es-en:0070	añadir	to add	No puedo añadir nada más.	I can't add anything else.	verb	anadir	biohack es-en letter-a verb	804d47fb6917
biohack:es-en:0071	el año	m. year	Esperamos volver el año que viene.	We hope to return next year.	masculine noun	ano	biohack es-en letter-a noun	bd07868e1fa1
biohack:es-en:0072	apagar	to turn off, extinguish	Apague la luz al salir del cuarto.	Turn off the light on leaving the room.	verb	apagar	biohack es-en letter-a verb	188df719dd41
biohack:es-en:0073	el aparato	m. appliance	Hay muchos aparatos útiles en la ferretería.	There are many useful appliances in the hardware store.	masculine noun	aparato	biohack es-en letter-a noun	b66bef0ef219
biohack:es-en:0074	aparecer	to appear	De repente apareció después de tres años de ausencia.	He suddenly appeared after a three-year absence.	verb	aparecer	biohack es-en letter-a verb	d3c373d60ef0
biohack:es-en:0075	el apellido	m. surname	¿Cuál es su apellido?	What is your surname?	masculine noun	apellido	biohack es-en letter-a noun	ebbdeaf8544a
biohack:es-en:0076	aprender	to learn	Aprendemos mucho en nuestros viajes al extranjero.	We learn a lot in our trips abroad..	verb	aprender	biohack es-en letter-a verb	fab089ac878b
biohack:es-en:0077	apresurarse	to hurry	Ya es tarde. ¡Apresúrense!	It's late already. Hurry up!	verb	apresurarse	biohack es-en letter-a verb	f6805276faa1
biohack:es-en:0078	aprovechar	to take advantage of	Quiero aprovechar la oportunidad de hablar con el gobernador.	I want to take advantage of the opportunity to speak to the governor.	verb	aprovechar	biohack es-en letter-a verb	da662dec0eb9
biohack:es-en:0079	el aquel	m. (aquella f.; aquellos m. pl.; aquellas f. pl.) that, those	Me acuerdo de aquellos tiempos.	I remember those times.	masculine noun	aquel	biohack es-en letter-a noun	d0d8c408e3ad
biohack:es-en:0080	aquí	here	Aquí se habla español.	Spanish is spoken here.		aqui	biohack es-en letter-a	2cc3f112e2f9
biohack:es-en:0081	el árbol	m. tree	Su casa está rodeada de árboles.	His house is surrounded	masculine noun	arbol	biohack es-en letter-a noun	5febb5092ff9
biohack:es-en:0082	la arena	f. sand	“Sangre y arena” es el título de una novela de Blasco Ibáñez.	“Blood and Sand” is the title of a novel by Blasco Ibáñez.	feminine noun	arena	biohack es-en letter-a noun	d4a0bef4b02c
biohack:es-en:0083	el arete	m. earring	Tienen una buena selección de aretes en esta joyería.	They have a good choice of earrings in this jewelry store.	masculine noun	arete	biohack es-en letter-a noun	d7fad1fe2c37
biohack:es-en:0084	el armario	m. closet	Esta habitación tiene dos armarios para la ropa.	This room has two closets for clothing.	masculine noun	armario	biohack es-en letter-a noun	683a8e37edcf
biohack:es-en:0085	arreglar	to fix, repair, arrange	¿Está todo arreglado para mañana?	Is everything arranged for tomorrow?	verb	arreglar	biohack es-en letter-a verb	a372c8518e64
biohack:es-en:0086	arriba	up, above	Las alcobas están arriba.	The bedrooms are upstairs.		arriba	biohack es-en letter-a	7778bd76145e
biohack:es-en:0087	arrojar	to throw	Se prohibe arrojar objetos por la ventanilla.	It is forbidden to throw things out of the window.	verb	arrojar	biohack es-en letter-a verb	7e93bdad9495
biohack:es-en:0088	el/la arte	m., f. art	Este museo tiene una magnifica coleccién de arte moderno.	This museum has a magnificent collection of modern art.	masculine or feminine noun	arte	biohack es-en letter-a noun	8113b5f8c96d
biohack:es-en:0089	el arte	m. art	¿Dónde está el Palacio de Bellas Artes?	Where is the Palace of Fine Arts?	masculine noun	arte	biohack es-en letter-a noun	afdf7e1adb8c
biohack:es-en:0090	el/la artista	m. &amp; f.	artist Estos artistas van a ser famosos algún día.	These artists are going to be famous some day.	masculine or feminine noun	artista	biohack es-en letter-a noun	bfe5c5d2feff
biohack:es-en:0091	asado	roasted	Me gustan las castañas asadas.	I like roasted chestnuts.		asado	biohack es-en letter-a	1b8d95e67424
biohack:es-en:0092	el ascensor	m. elevator	El ascensor no funciona hoy.	The elevator is out of order today.	masculine noun	ascensor	biohack es-en letter-a noun	1e3b1c1c3456
biohack:es-en:0093	asegurar	to insure	Quisiera asegurar mi equipaje.	I'd like to insure my luggage.	verb	asegurar	biohack es-en letter-a verb	a9463a398bca
biohack:es-en:0094	los aseos	m. pl. (Spain) restroom, toilet	Los aseos están a la izquierda.	The restrooms are to the left.	masculine plural noun	aseos	biohack es-en letter-a noun	981c11a05ea8
biohack:es-en:0095	así	thus, this way	Usted debe hacerlo así.	You should do it this way.		asi	biohack es-en letter-a	f6c9f3613110
biohack:es-en:0096	el asiento	m. seat	Tomen asiento, por favor.	Please be seated.	masculine noun	asiento	biohack es-en letter-a noun	c08428aa763e
biohack:es-en:0097	asistir a	to attend	(Queremos asistir al concierto de esta noche.	We want to attend tonight's concert.	verb	asistir a	biohack es-en letter-a verb	6084de56be56
biohack:es-en:0098	el asunto	m. matter, affair	Es un asunto muy delicado.	It’s a very delicate matter.	masculine noun	asunto	biohack es-en letter-a noun	3569927dfd69
